#GENE	CONDITION	INHERITANCE	AGE GROUP
ACAN	Spondyloepimetaphyseal dysplasia, aggrecan type; Spondyloepiphyseal dysplasia, Kimberley type; Osteochondritis dissecans, short stature, and early-onset osteoarthritis 	AD/AR	N/A
ACAT1	Alpha-methylacetoacetic aciduria	AR	Pediatric
ACD	Dyskeratosis congenita, autosomal dominant 6; Dyskeratosis congenita, autosomal recessive 7	AD/AR	Pediatric
ACE	Renal tubular dysgenesis; ACE serum levels	AD/AR	N/A
ACHE	Blood group, Yt system	BG	Pediatric
ACKR1	Blood group, Duffy system	BG	Pediatric
ACO2	Infantile cerebellar-retinal degeneration; Optic atrophy 9	AR	N/A
ACOX1	Peroxisomal acyl-CoA oxidase deficiency	AR	N/A
ACP5	Spondyloenchondrodysplasia with immune dysregulation	AR	Pediatric
ACSF3	Combined malonic and methylmalonic aciduria	AR	Pediatric
ACSL4	Mental retardation, X-linked 63	XL	N/A
ACTA1	Myopathy, congenital, with fiber-type disproportion 1; Myopathy, nemaline 3; Myopathy, nemaline, with stiffness and hypertonia	AD/AR	N/A
ACTA2	Moyamoya disease; Multisystemic smooth muscle dysfunction syndrome; Aortic aneurysm, familial thoracic 6	AD	Pediatric
ACTB	Baraitser-Winter syndrome 1	AD	Pediatric
ACTC1	Cardiomyopathy, dilated , 1R; Cardiomyopathy, familial hypertrophic 11; Cardiomyopathy, restrictive; Left ventricular noncompaction; Atrial septal defect 5	AD	Pediatric
ACTG1	Deafness, autosomal dominant 20; Baraitser-Winter syndrome 2	AD	Pediatric
ACTG2	Megacystis-microcolon-intestinal hypoperistalsis syndrome; Visceral myopathy	AD	Pediatric
ACTN1	Bleeding disorder, platelet-type, 15	AD	N/A
ACTN2	Cardiomyopathy, dilated, 1AA, with or without left ventricular noncompaction; Cardiomyopathy, hypertrophic 23, with or without left ventricular noncompaction	AD	Pediatric
ACTN4	Focal segmental glomerulosclerosis 1	AD	N/A
ACVR1	Fibrodysplasia ossificans progressiva	AD	N/A
ACVR2B	Heterotaxy, visceral, 4, autosomal	AD	N/A
ACVRL1	Hereditary hemorrhagic telangiectasia, type 2	AD	Pediatric
ACY1	Aminoacylase 1 deficiency	AR	N/A
ADA	Severe combined immunodeficiency due to adenosine deaminase deficiency	AR	Pediatric
ADAM10	Reticulate acropigmentation of Kitamura	AD	N/A
ADAM17	Inflammatory skin and bowel disease, neonatal 1	AR	Pediatric
ADAM9	Cone-rod dystrophy 9	AR	N/A
ADAMTS10	Weill-Marchesani syndrome 1	AR	Pediatric
ADAMTS13	Thrombotic thrombocytopenic purpura, familial; Schulman-Upshaw syndrome	AR	Pediatric
ADAMTS17	Weill-Marchesani-like syndrome	AR	Pediatric
ADAMTS18	Knobloch syndrome 2; Microcornea, myopic chorioretinal atrophy, and telecanthus; Retinal dystrophy, early onset, autosomal recessive	AR	N/A
ADAMTS2	Ehlers-Danlos syndrome, type VII	AR	Pediatric
ADAMTSL2	Geleophysic dysplasia 1	AR	Pediatric
ADAMTSL4	Ectopia lentis, isolated, autosomal recessive	AR	Pediatric
ADAR	Dyschromatosis symmetrica hereditaria; Aicardi-Goutieres syndrome 6	AD/AR	N/A
ADCK3	Coenzyme Q10 deficiency; Progressive cerebellar ataxia and atrophy; Spinocerebellar ataxia 9	AR	Pediatric
ADCK4	Nephrotic syndrome, type 9	AR	Pediatric
ADCY1	Deafness, autosomal dominant 44	AR	Pediatric
ADCY5	Dyskinesia, familial, with facial myokymia	AD	Adult
ADCY6	Lethal congenital contracture syndrome 8	AR	N/A
ADGRG1	Polymicrogyria, bilateral frontoparietal; Polymicrogyris, bilateral perisylvian	AR	N/A
ADGRG6	Lethal congenital contracture syndrome 9	AR	N/A
ADGRV1	Usher syndrome, type IIC	AR/Digenic	Pediatric
ADK	Hypermethioninemia due to adenosine kinase deficiency	AD	N/A
ADNP	Helsmoortel-van der Aa syndrome (Mental retardation, autosomal dominant 28)	AD	N/A
ADRA2C	Beta-blocker response, association with	AD	Pediatric
ADRB1	Beta-blocker response, association with	AD	Pediatric
ADRB2	Beta-2-adrenoreceptor agonist, reduced response to	AD	Pediatric
ADSL	Adenylosuccinase deficiency	AR	N/A
AFF2	Premature ovarian failure	XL	Pediatric
AFF4	Cognitive impairment, coarse facies, Heart defects, Obesity, Pulmonary involvement, Short stature, and skeletal dysplasia (CHOPS syndrome)	AD	N/A
AFG3L2	Spinocerebellar ataxia 28; Spastic ataxia 5, autosomal recessive	AD/AR	N/A
AFP	AFP deficiency, congenital; Hereditary persistence of AFP	AD/AR	N/A
AGA	Aspartylglucosaminuria	AR	N/A
AGBL1	Corneal dystrophy, Fuchs endothelial, 8	AD	N/A
AGK	Sengers syndrome	AR	Pediatric
AGL	Glycogen storage disease III	AR	Pediatric
AGPAT2	Lipodystrophy, congenital generalized, type 1	AR	Pediatric
AGPS	Rhizomelic chondrodysplasia punctata, type 3	AR	N/A
AGRN	Myasthenic syndrome, congenital 8	AR	Pediatric
AGT	Renal tubular dysgenesis	AR	N/A
AGTR1	Renal tubular dysgenesis	AR	N/A
AGTR2	Mental retardation, X-linked 88	XL	N/A
AGXT	Hyperoxaluria, primary, type 1	AR	Pediatric
AHCY	Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency	AR	Pediatric
AHDC1	Mental retardation, autosomal dominant 25 (Xia-Gibbs syndrome)	AD	N/A
AHI1	Joubert syndrome 3	AR	N/A
AICDA	Immunodeficiency with hyper-IgM, type 2	AR	Pediatric
AIFM1	Combined oxidative phosphorylation deficiency 6; Cowchock syndrome	XL	N/A
AIMP1	Leukodystrophy, hypomyelinating, 3	AR	N/A
AIP	Pituitary adenoma, familial isolated	AD	Pediatric
AIPL1	Leber congenital amaurosis 4; Retinitis pigmentosa, juvenile, AIPL1-related; Cone-rod dystrophy, AIPL1-related	AD/AR	N/A
AIRE	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	AD/AR	Pediatric
AK1	Adenylate kinase deficiency, hemolytic anemia due to	AR	Pediatric
AK2	Reticular dysgenesis 	AR	Pediatric
AKAP9	Long QT syndrome 11	AD	Pediatric
AKR1C2	46,XY sex reversal 8	AR	Pediatric
AKR1D1	Bile acid synthesis defect, congenital, 2	AR	Pediatric
AKT1	Cowden syndrome 6; Proteus syndrome 	AD	Pediatric
AKT2	Hypoinsulinemic hypoglycemia with hemihypertrophy	AD	Pediatric
AKT3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	N/A
ALAD	Porphyria, acute hepatic	AR	Pediatric
ALAS2	Anemia, sideroblastic, X-linked; Protoporphyria, erythropoietic	XL	Pediatric
ALB	Dysalbuminemic hyperthyroxinemia; Analbuminemia	AD/AR	Pediatric
ALDH18A1	Cutis laxa, autosomal dominant 3; Spastic paraplegia 9A, autosomal dominant; Cutis laxa, autosomal recessive, type IIIA; Spastic paraplegia 9B, autosomal recessive	AD/AR	N/A
ALDH1A3	Microphthalmia, isolated 8	AR	N/A
ALDH3A2	Sjogren-Larsson syndrome	AR	N/A
ALDH4A1	Hyperprolinemia, type II 	AR	N/A
ALDH5A1	Succinic semialdehyde dehydrogenase deficiency	AR	N/A
ALDH6A1	Methylmalonate semialdehyde dehydrogenase deficiency	AR	Pediatric
ALDH7A1	Epilepsy, pyridoxine-dependent	AR	Pediatric
ALDOA	Glycogen storage disease XII	AR	Pediatric
ALDOB	Fructose intolerance, hereditary	AR	Pediatric
ALG1	Congenital disorder of glycosylation, type Ik	AR	Pediatric
ALG11	Congenital disorder of glycosylation, type Ip	AR	Pediatric
ALG12	Congenital disorder of glycosylation, type Ig	AR	Pediatric
ALG13	Congenital disorder of glycosylation, type Is	XL	Pediatric
ALG14	Myasthenic syndrome, congenital 15	AR	Pediatric
ALG2	Congenital disorder of glycosylation, type Ii; Myasthenic syndrome, congenital 14	AR	Pediatric
ALG3	Congenital disorder of glycosylation, type Id	AR	Pediatric
ALG6	Congenital disorder of glycosylation, type Ic	AR	Pediatric
ALG8	Congenital disorder of glycosylation, type Ih	AR	Pediatric
ALG9	Congenital disorder of glycosylation, type Il	AR	Pediatric
ALK	Neuroblastoma, susceptibility to, 3	AD	Pediatric
ALMS1	Alstrom syndrome	AR	Pediatric
ALOX12B	Ichthyosiform erythroderma, congenital, nonbullous, 1	AR	N/A
ALOX5	Asthma, diminished response to antileukotriene treatment in	AD	Pediatric
ALOXE3	Ichthyosiform erythroderma, congenital, nonbullous, 1	AR	N/A
ALPL	Hypophosphatasia, infantile; Odontohypophosphatasia	AD/AR	Pediatric
ALS2	Spastic paralysis, infantile onset ascending; Primary lateral sclerosis, juvenile; Amyotrophic lateral sclerosis 2	AR	N/A
ALS2CL	Schizophrenia	AD	N/A
ALX1	Frontonasal dysplasia 3	AR	N/A
ALX3	Frontonasal dysplasia 1	AR	N/A
ALX4	Parietal foramina 2; Frontonasal dysplasia 2	AD/AR	N/A
AMACR	Bile acid synthesis defect, congenital, 4; Alpha-methylacyl-CoA racemase deficiency	AR	Pediatric
AMBN	Amelogenesis imperfecta type IF	AR	N/A
AMELX	Amelogenesis imperfecta,  type 1E	XL	N/A
AMER1	Osteopathia striata with cranial sclerosis	XL	N/A
AMH	Persistent Mullerian duct syndrome, type I	AR	Pediatric
AMHR2	Persistent Mullerian duct syndrome, type II	AR	Pediatric
AMN	Megaloblastic anemia-1, Norwegian type	AR	Pediatric
AMPD1	Myoadenylate deaminase deficiency	AR	N/A
AMPD2	Pontocerebellar hypoplasia type 9; Spastic paraplegia 63	AR	N/A
AMPD3	Erythrocytic AMP deaminase deficiency	AD/AR	N/A
AMT	Glycine encephalopathy	AR	Pediatric
ANG	Amyotrophic lateral sclerosis 9	AD	N/A
ANGPTL3	Hypobetalipoproteinemia, familial, 2	AR	N/A
ANK1	Spherocytosis, hereditary 1	AD/AR	Pediatric
ANK2	Long QT syndrome, 4; Cardiac arrhythmia, ankyrin-B-related 	AD	Pediatric
ANKH	Craniometaphyseal dysplasia; Chondrocalcinosis 2 	AD	N/A
ANKRD11	KBG syndrome	AD	N/A
ANKRD26	Thrombocytopenia 2	AD	Pediatric
ANKS6	Nephronophthisis 16	AR	N/A
ANLN	Focal segmental glomerulosclerosis 8	AD	N/A
ANO10	Spinocerebellar ataxia, autosomal recessive 10	AR	N/A
ANO3	Craniocervical dystonia, autosomal dominant (Dystonia 24)	AD	N/A
ANO5	Gnathodiaphyseal dysplasia	AR	Pediatric
ANO6	Scott syndrome	AR	Pediatric
ANOS1	Kallmann syndrome 1	XL/Digenic	Pediatric
ANTXR1	Hemangioma, capillary infantile, susceptibility to; Growth retardation, alopecia, pseudoanodontia, and optic atrophy (GAPO syndrome)	AD/AR	N/A
ANTXR2	Hyalinosis, infantile systemic; Fibromatosis, juveline hyaline	AR	Pediatric
AP1S2	Mental retardation, X-linked syndromic, Fried type (Pettigrew syndrome)	XL	N/A
AP1S3	Psoriasis 15, pustular, susceptibility to	AD	N/A
AP3B1	Hermansky-Pudlak syndrome 2	AR	Pediatric
AP4B1	Spastic paraplegia 47, autosomal recessive	AR	N/A
AP4E1	Spastic paraplegia 51, autosomal recessive	AR	N/A
AP4M1	Spastic paraplegia 50, autosomal recessive	AR	N/A
AP4S1	Spastic paraplegia 52, autosomal recessive	AR	N/A
AP5Z1	Spastic paraplegia 48, autosomal recessive	AR	N/A
APC	Familial adenomatous polyposis; Gardner syndrome; Desmoid disease, hereditary	AD	Pediatric
APCDD1	Hypotrichosis 1	AD	N/A
APOA1	Hypoalphalipoproteinemia; Amyloidosis, systemic nonneuronopathic	AD/AR	Pediatric
APOA2	Apolipoprotein A-II deficiency	AR	N/A
APOA5	Hyperchylomicronemia	AD/AR	Pediatric
APOB	Hypobetalipoproteinemia, familial; Hypercholesterolemia, familial	AD/AR	Pediatric
APOC2	Hyperlipoproteinemia, type Ib	AR	Pediatric
APOC3	Apolipoprotein C-III deficiency	AD	N/A
APOE	Dysbetalipoproteinemia, familial (Hyperlipoproteinemia, type III); Lipoprotein glomerulopathy; Sea-blue histiocyte disease	AD/AR	Pediatric
APOPT1	Mitochondrial complex IV deficiency	AR	N/A
APP	Alzheimer disease, familial; Cerebral amyloid angiopathy	AD/AR	N/A
APPL1	Maturity-onset diabetes of the young, type 14	AD	N/A
APRT	Adenine phosphoribosyltransferase deficiency	AR	Pediatric
APTX	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR	N/A
AQP1	Blood group, Colton	BG	Pediatric
AQP2	Diabetes insipidus, nephrogenic, autosomal	AD/AR	Pediatric
AQP3	Blood group, GIL	BG	Pediatric
AR	Androgen insensitivity; Androgen insensitivity, partial	XL	Pediatric
ARFGEF2	Heterotopia, periventricular, autosomal recessive	AR	N/A
ARG1	Hyperargininemia	AR	Pediatric
ARHGAP31	Adams-Oliver syndrome 1	AD	N/A
ARHGDIA	Nephrotic syndrome, type 8	AR	N/A
ARHGEF10	Slowed nerve conduction velocity, autosomal dominant (Hereditary motor and sensory neuropathy)	AD	N/A
ARHGEF6	Mental retardation, X-linked 46	XL	N/A
ARHGEF9	Epileptic encephalopathy, early infantile, 8	XL	N/A
ARID1A	Mental retardation, autosomal dominant 14; Coffin-Siris syndrome	AD	N/A
ARID1B	Mental retardation, autosomal dominant, 12; Coffin-Siris syndrome	AD	N/A
ARL13B	Joubert syndrome 8	AR	N/A
ARL2BP	Retinitis pigmentosa with or without situs inversus	AR	N/A
ARL6	Retinitis pigmentosa 55; Bardet Biedl syndrome 3	AR	N/A
ARL6IP1	Spastic paraplegia 61	AR	N/A
ARMC4	Ciliary dyskinesia, primary, 23	AR	Pediatric
ARMC5	ACTH-independent macronodular adrenal hyperplasia 2	AD	Adult
ARNT2	Webb-Datani syndrome	AR	Pediatric
ARSA	Metachromatic leukodystrophy	AR	N/A
ARSB	Mucopolysaccharidosis type VI (Maroteaux-Lamy)	AR	Pediatric
ARSE	Chondrodysplasia punctata 1, X-linked recessive 	XL	N/A
ART4	Blood group, Dombrock	BG	Pediatric
ARX	Partington X-linked mental retardation syndrome; Epileptic encephalopathy, early infantile, 1; Lissencephaly, X-linked 2; Hydranencephaly with abnormal genitalia; Mental retardation, X-linked 29/32/33/38/43/54/76/87; Proud syndrome; Corpus callosum, agenesis of, with abnormal genitalia	XL	N/A
ASAH1	Farber lipogranulomatosis; Spinal muscular atrophy with progressive myoclonic epilepsy	AR	N/A
ASCC1	Barrett esophagus/Esophageal adenocarcinoma	AD	Adult
ASCL1	Central hypoventilation syndrome, congenital (Haddad syndrome)	AD	Pediatric
ASIP	Skin/hair/eye pigmentation 9	AD	N/A
ASL	Argininosuccinic aciduria	AR	Pediatric
ASNS	Asparagine synthetase deficiency	AR	Pediatric
ASPA	Aspartoacylase deficiency (Canavan disease)	AR	N/A
ASPH	Facial dysmorphism, lens dislocation, anterior segment abnormalities, and spontaneous filtering blebs (FDLAB)	AR	Pediatric
ASPM	Microcephaly, primary autosomal recessive, 5	AR	N/A
ASS1	Citrullinemia 	AR	Pediatric
ASXL1	Bohring-Opitz syndrome	AD	N/A
ASXL3	Bainbridge-Ropers syndrome	AD	N/A
ATCAY	Ataxia, cerebellar, Cayman type	AR	N/A
ATF6	Achromatopsia 7	AR	N/A
ATIC	AICAR transformylase/IMP cyclohydrolase deficiency	AR	N/A
ATL1	Neuropathy, hereditary sensory, type 1D; Spastic paraplegia 3, autosomal dominant	AD/AR	N/A
ATL3	Neuropathy, hereditary sensory, type IF	AD	N/A
ATM	Breast cancer, susceptibility to; Ataxia-Telangiectasia	AD/AR	Pediatric (Ataxia-Telangiectasia); Adult (Breast cancer, susceptibility to)
ATN1	Dentatorubro-pallidoluysian atrophy	AD	N/A
ATOH7	Persistent hyperplastic primary vitreous, autosomal recessive	AR	N/A
ATP13A2	Parkinson disease 9 (Kufor-Rakeb syndrome)	AR	N/A
ATP1A2	Alternating hemiplegia of childhood; Migraine, familial hemiplegic 2	AD/AR	Pediatric
ATP1A3	Alternating hemiplegia of childhood 2	AD	Pediatric
ATP2A1	Brody myopathy	AR	Pediatric
ATP2A2	Darier disease; Acrokeratosis verruciformis (Hopf disease)	AD	N/A
ATP2B3	Spinocerebellar ataxia, X-linked 1	XL	N/A
ATP2C1	Benign chronic pemphigus	AD	N/A
ATP5A1	Combined oxidative phosphorylation deficiency 22; Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4	AR	N/A
ATP5E	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3	AR	N/A
ATP6AP2	Mental retardation, X-linked, syndromic, Hedera type; Parkinsonism with spasticity, X-linked	XL	N/A
ATP6V0A2	Cutis laxa, autosomal recessive, type IIA; Wrinkly skin syndrome	AR	N/A
ATP6V0A4	Renal tubular acidosis, distal, autosomal recessive	AR	Pediatric
ATP6V1B1	Renal tubular acidosis with deafness	AR	Pediatric
ATP6V1B2	Zimmermann-Laband syndrome 2	AD	Pediatric
ATP7A	Menkes disease	XL	Pediatric
ATP7B	Wilson disease	AR	Pediatric
ATP8B1	Familial intrahepatic cholestasis, recurrent; Cholestasis, progressive familial intrahepatic 1; Intrahepatic cholestasis of pregnancy	AD/AR	Pediatric
ATPAF2	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1	AR	N/A
ATR	Cutaneous telangiectasia and cancer syndrome, familial; Seckel syndrome 1	AD/AR	Pediatric
ATRX	Mental retardation-hypotonic facies syndrome, X-linked; Juberg-Marsidi syndrome; Carpenter-Waziri syndrome; Holmes-Gang syndrome; Smith-Fineman-Myers syndrome; Alpha-thalassemia/mental retardation syndrome 	XL	N/A
ATXN1	Spinocerebellar ataxia 1	AD	N/A
ATXN10	Spinocerebellar ataxia 10	AD	N/A
ATXN2	Spinocerebellar ataxia 2	AD	N/A
ATXN3	Spinocerebellar ataxia 3 (Machado-Joseph disease)	AD	N/A
ATXN7	Spinocerebellar ataxia 7	AD	N/A
ATXN8	Spinocerebellar ataxia 8	AD	N/A
ATXN8OS	Spinocerebellar ataxia 8	AD	N/A
AUH	3-methylglutaconic aciduria, type I	AR	N/A
AURKC	Spermatogenic failure 5	AR	N/A
AUTS2	Mental retardation, autosomal dominant 26	AD	N/A
AVP	Diabetes insipidus, neurohypophyseal	AD/AR	Pediatric
AVPR2	Diabetes insipidus, nephrogenic, X-linked	XL	Pediatric
AXIN1	Caudal duplication anomaly	AD/Methylation	N/A
AXIN2	Oligodontia-colorectal cancer syndrome	AD	Adult
B2M	Immunodeficiency 43	AR	Pediatric
B3GALNT1	Blood group, P system	BG	Pediatric
B3GALNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 11	AR	N/A
B3GALT6	Ehlers-Danlos syndrome, progeroid type, 2; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	AR	N/A
B3GAT3	Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects	AR	N/A
B3GLCT	Peters-plus syndrome	AR	Pediatric
B4GALT1	Congenital disorder of glycosylation, type IId	AR	Pediatric
B4GALT7	Ehlers-Danlos syndrome, progeroid form	AR	N/A
B4GAT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13	AR	N/A
B9D1	Meckel syndrome 9	AR	N/A
B9D2	Meckel syndrome 10	AR	N/A
BAAT	Hypercholanemia, familial	AR	Pediatric
BAG3	Cardiomyopathy, dilated, 1HH; Myopathy, myofibrillar 6	AD	Adult
BANF1	Nestor-Guillermo progeria syndrome	AR	N/A
BAP1	Tumor predisposition syndrome	AD	Pediatric
BARD1	Breast cancer, susceptibility to	AD	Adult
BBIP1	Bardet-Biedl syndrome 18	AR	N/A
BBS1	Bardet-Biedl syndrome 1	AR 	N/A
BBS10	Bardet-Biedl syndrome 10	AR 	N/A
BBS12	Bardet-Biedl syndrome 12	AR 	N/A
BBS2	Bardet-Biedl syndrome 2; Retinitis pigmentosa 74	AR 	N/A
BBS4	Bardet-Biedl syndrome 4	AR 	N/A
BBS5	Bardet-Biedl syndrome 5	AR 	N/A
BBS7	Bardet-Biedl syndrome 7	AR 	N/A
BBS9	Bardet-Biedl syndrome 9	AR	N/A
BCAM	Blood group, Lutheran system; Blood group, Auberger system; Lutheran, null	BG	Pediatric
BCAP31	Deafness, dystonia, and cerebral hypomyelination	XL	N/A
BCHE	Butyrlcholinesterase deficiency	AR	Pediatric
BCKDHA	Maple syrup urine disease, type Ia	AR	Pediatric
BCKDHB	Maple syrup urine disease, type Ib	AR	Pediatric
BCKDK	Branched-chain ketoacid dehydrogenase kinase deficiency	AR	Pediatric
BCL10	Immunodeficiency 37	AR	Pediatric
BCL11A	Severe speech sound disorder	AD	N/A
BCO1	Hypercarotenemia and vitamin A deficiency, autosomal dominant	AD/AR	Pediatric
BCOR	Microphthalmia, syndromic 2; Oculofaciocardiodental syndrome	XL	N/A
BCR	CML treatment, response to	AD	Pediatric
BCS1L	Bjornstad syndrome	AR	Pediatric
BDNF	Central hypoventilation syndrome, congenital	AD	Pediatric
BEAN1	Spinocerebellar ataxia 31	AD	N/A
BEST1	Vitreoretinochoroidopathy; Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 	AD	Adult
BFSP1	Cataract, cortical, juvenile-onset	AR	N/A
BFSP2	Cataract 12, multiple types	AD/AR	N/A
BHLHA9	Syndactyly, mesoaxial synostotic, with phalangeal reduction	AR	N/A
BHLHE41	Short sleeper	AD	N/A
BICC1	Renal dysplasia, cystic, susceptibility to	AD	Pediatric
BIN1	Myopathy, centronuclear, 2	AR	N/A
BLK	Maturity-onset diabetes of the young, type 11	AD	N/A
BLM	Bloom syndrome	AR	Pediatric
BLNK	Agammaglobulinemia 4	AR	Pediatric
BLOC1S3	Hermansky-Pudlak syndrome 8	AR	Pediatric
BLOC1S6	Hermansky-Pudlak syndrome 9	AR	Pediatric
BLVRA	Hyperbiliverdinemia	AD/AR	N/A
BMP1	Osteogenesis imperfecta, type XIII	AR	N/A
BMP15	Premature ovarian failure 4; Ovarian dysgenesis 2	XL	Pediatric
BMP2	Brachydactyly, type A2	AD	N/A
BMP4	Microphthalmia, syndromic 6; Orofacial cleft 11	AD	N/A
BMPER	Diaphanospondylodysostosis	AR	N/A
BMPR1A	Polyposis syndrome, hereditary mixed, 2; Polyposis, juvenile intestinal	AD	Adult
BMPR1B	Acromesomelic dysplasia, Demirhan type; Brachydactyly A2; Brachydactyly C/Symphalangism-like phenotype	AD/AR	N/A
BMPR2	Pulmonary hypertension, primary; Pulmonary venoocclusive disease 1	AD	Pediatric
BMS1	Aplasia cutis congenita, nonsyndromic	AD	N/A
BOLA3	Multiple mitochondrial dysfunctions syndrome 2	AR	N/A
BPGM	Bisphosphoglycerate mutase deficiency	AD/AR	Pediatric
BRAF	Noonan syndrome; Cardiofaciocutaneous syndrome; LEOPARD syndrome 3	AD	Pediatric
BRAT1	Rigidity and multifocal seizure syndrome, lethal neonatal	AR	N/A
BRCA1	Breast-ovarian cancer, familial, susceptibility to, 1; Pancreatic cancer, susceptibility to, 4	AD	Adult
BRCA2	Breast-ovarian cancer, familial, susceptibility to; Pancreatic cancer, susceptibility to, 2; Glioma susceptibility 3; Fanconi anemia, complementation group D1; Wilms tumor; Medulloblastoma	AD/AR	Pediatric (Fanconi anemia, complementation group D1); Adult (Breast-ovarian cancer, familial, susceptibility to; Pancreatic cancer, susceptibility to, 2; Glioma susceptibility 3; Wilms tumor; Medulloblastoma)
BRF1	Cerebellofaciodental syndrome	AR	N/A
BRIP1	Breast cancer; Fanconi anemia, complementation group J	AD/AR	Pediatric (Fanconi anemia, complementation group J); Adult (Breast  cancer)
BRWD3	Mental retardation, X-linked 93	XL	N/A
BSCL2	Lipodystrophy, congenital generalized, type 2; Encephalopathy, progressive, with or without lipodystrophy	AR	Pediatric
BSG	Blood group, OK	BG	Pediatric
BSND	Bartter syndrome, type 4a; Sensorineural deafness with mild renal dysfunction 	AR	Pediatric
BTD	Biotinidase deficiency	AR	Pediatric
BTK	Agammaglobulinemia, X-linked; Agammaglobulinemia and isolated hormone deficiency; Hypogammaglobulinemia, X-linked	XL	Pediatric
BUB1B	Mosaic variegated aneuploidy syndrome; Premature chromatid separation trait	AD/AR	Pediatric
C10ORF11	Albinism, oculocutaneous, type V	AR	N/A
C10ORF2	Mitochondrial DNA depletion syndrome 7 (hepatocerebral type); Perrault syndrome 5	AR	Pediatric
C12ORF57	Corpus callosum hypoplasia, recessive; Temtamy syndrome	AR	N/A
C12ORF65	Combined oxidative phosphorylation deficiency 7; Spastic paraplegia 55, autosomal recessive 	AR	N/A
C15ORF41	Congenital dyserythropoietic anemia type Ib	AR	Pediatric
C19ORF12	Neurodegeneration with brain iron accumulation 4; Spastic Paraplegia 43	AR	N/A
